marca_masina;anul_fabricatiei;pretul;km_parcursi;tip_combustibil;tip_caroserie;tip_cutie_de_viteza
Ford;2019;18449;142000;Hibrid;Berlin?;Automat?
Audi;2018;14949;253000;Benzin?;Hatchback;Automat?
Mazda;2016;10990;197000;Diesel;Hatchback;Manual?
Peugeot;2018;17949;125000;Diesel;SUV;Automat?
Opel;2012;5990;186000;Diesel;Hatchback;Manual?
Mazda;2019;16950;223000;Diesel;SUV;Manual?
Ford;2019;12949;55000;Diesel;Hatchback;Manual?
Skoda;2022;19989;42000;Benzin?;SUV;Automat?
Audi;2018;43950;82700;Benzin?;Berlin?;Automat?
Ford;2020;11989;134000;Diesel;Hatchback;Manual?
Mercedes-Benz;2019;42950;110000;Diesel;SUV;Automat?
Skoda;2018;12988;86000;Diesel;Berlin?;Manual?
Skoda;2020;15988;135000;Benzin?;Berlin?;Automat?
Peugeot;2020;19990;61000;Benzin?;SUV;Automat?
Citroen;2019;20989;120000;Diesel;SUV;Automat?
Mercedes-Benz;2020;59989;131000;Diesel;SUV;Automat?
Renault;2017;13449;235000;Diesel;Monovolum;Manual?
Mercedes-Benz;2014;18950;210000;Diesel;SUV;Automat?
BMW;2018;24449;195000;Benzin?;Berlin?;Automat?
Dacia;2012;6990;127000;Diesel;SUV;Manual?
Skoda;2019;13949;184500;Diesel;Hatchback;Automat?
Mazda;2011;6650;152000;Benzin?;Hatchback;Manual?
Opel;2011;7750;230000;Diesel;SUV;Manual?
Dacia;2017;7330;72000;Benzin?;Hatchback;Manual?
Seat;2013;6220;132000;Benzin?;Hatchback;Manual?
Mazda;2015;11800;195400;Diesel;SUV;Automat?
Audi;2015;16500;106000;Benzin?;Berlin?;Automat?
Renault;2019;7999;80000;Benzin?;Hatchback;Manual?
BMW;2012;13990;243000;Benzin?;Berlin?;Automat?
Volkswagen;2012;9990;180000;Benzin?;Berlin?;Automat?
Nissan;2016;13950;77000;Benzin?;SUV;Automat?
Ford;2012;6550;153000;Benzin?;Hatchback;Manual?
Mercedes-Benz;2017;18950;173000;Benzin?;Berlin?;Automat?
Volkswagen;2011;8750;140000;Benzin?;Hatchback;Automat?
Skoda;2020;21449;150000;Benzin?;Berlin?;Automat?
Dacia;2023;9800;37452;GPL;Berlin?;Manual?
Renault;2009;6330;165000;Benzin?;Monovolum;Manual?
