marca_masina,anul_fabricatiei,pretul,km_parcursi,tip_combustibil,tip_caroserie,tip_cutie_de_viteza
Skoda,2018,13249,98000,Diesel,Berlină,Manuală
Kia,2019,23450,91000,Diesel,SUV,Automată
Mercedes-Benz,2018,20950,153000,Diesel,Hatchback,Automată
Opel,2011,4900,191300,Diesel,Berlină,Automată
Volkswagen,2020,15000,22570,Electric,Hatchback,Automată
Audi,2012,9000,173800,Benzină,Hatchback,Manuală
Peugeot,2020,26950,25000,Benzină,SUV,Automată
Peugeot,2019,14949,140000,Diesel,Monovolum,Manuală
Ford,2019,18449,142000,Hibrid,Berlină,Automată
Audi,2018,14949,253000,Benzină,Hatchback,Automată
Mazda,2016,10990,197000,Diesel,Hatchback,Manuală
Peugeot,2018,17949,125000,Diesel,SUV,Automată
Opel,2012,5990,186000,Diesel,Hatchback,Manuală
Mazda,2019,16950,223000,Diesel,SUV,Manuală
Ford,2019,12949,55000,Diesel,Hatchback,Manuală
Skoda,2022,19989,42000,Benzină,SUV,Automată
Audi,2018,43950,82700,Benzină,Berlină,Automată
Ford,2020,11989,134000,Diesel,Hatchback,Manuală
Mercedes-Benz,2019,42950,110000,Diesel,SUV,Automată
Skoda,2018,12988,86000,Diesel,Berlină,Manuală
Skoda,2020,15988,135000,Benzină,Berlină,Automată
Peugeot,2020,19990,61000,Benzină,SUV,Automată
Citroen,2019,20989,120000,Diesel,SUV,Automată
Mercedes-Benz,2020,59989,131000,Diesel,SUV,Automată
Renault,2017,13449,235000,Diesel,Monovolum,Manuală
Mercedes-Benz,2014,18950,210000,Diesel,SUV,Automată
BMW,2018,24449,195000,Benzină,Berlină,Automată
Dacia,2012,6990,127000,Diesel,SUV,Manuală
Skoda,2019,13949,184500,Diesel,Hatchback,Automată
Mazda,2011,6650,152000,Benzină,Hatchback,Manuală
Opel,2011,7750,230000,Diesel,SUV,Manuală
Dacia,2017,7330,72000,Benzină,Hatchback,Manuală
Seat,2013,6220,132000,Benzină,Hatchback,Manuală
Mazda,2015,11800,195400,Diesel,SUV,Automată
Audi,2015,16500,106000,Benzină,Berlină,Automată
Renault,2019,7999,80000,Benzină,Hatchback,Manuală
BMW,2012,13990,243000,Benzină,Berlină,Automată
Volkswagen,2012,9990,180000,Benzină,Berlină,Automată
Nissan,2016,13950,77000,Benzină,SUV,Automată
